Report_Year,Census_Tract_1990,Crime_Type,Report_Year_Total
1996,1,Aggravated Assault,11
1996,1,Homicide,0
1996,1,NonResidential Burglary,41
1996,1,Property Crimes Total,430
1996,1,Rape,2
1996,1,Residential Burglary,42
1996,1,Robbery,2
1996,1,Theft,293
1996,1,Vehicle Theft,53
1996,1,Violent Crimes Total,15
1996,10,Aggravated Assault,7
1996,10,Homicide,0
1996,10,NonResidential Burglary,9
1996,10,Property Crimes Total,131
1996,10,Rape,1
1996,10,Residential Burglary,18
1996,10,Robbery,5
1996,10,Theft,93
1996,10,Vehicle Theft,11
1996,10,Violent Crimes Total,13
1996,100,Aggravated Assault,51
1996,100,Homicide,1
1996,100,NonResidential Burglary,26
1996,100,Property Crimes Total,771
1996,100,Rape,7
1996,100,Residential Burglary,89
1996,100,Robbery,23
1996,100,Theft,487
1996,100,Vehicle Theft,163
1996,100,Violent Crimes Total,82
1996,101,Aggravated Assault,32
1996,101,Homicide,0
1996,101,NonResidential Burglary,23
1996,101,Property Crimes Total,558
1996,101,Rape,6
1996,101,Residential Burglary,82
1996,101,Robbery,24
1996,101,Theft,346
1996,101,Vehicle Theft,102
1996,101,Violent Crimes Total,62
1996,102,Aggravated Assault,24
1996,102,Homicide,0
1996,102,NonResidential Burglary,3
1996,102,Property Crimes Total,273
1996,102,Rape,3
1996,102,Residential Burglary,19
1996,102,Robbery,10
1996,102,Theft,178
1996,102,Vehicle Theft,72
1996,102,Violent Crimes Total,37
1996,103,Aggravated Assault,60
1996,103,Homicide,1
1996,103,NonResidential Burglary,27
1996,103,Property Crimes Total,512
1996,103,Rape,5
1996,103,Residential Burglary,67
1996,103,Robbery,43
1996,103,Theft,308
1996,103,Vehicle Theft,105
1996,103,Violent Crimes Total,109
1996,104,Aggravated Assault,30
1996,104,Homicide,0
1996,104,NonResidential Burglary,14
1996,104,Property Crimes Total,356
1996,104,Rape,4
1996,104,Residential Burglary,68
1996,104,Robbery,25
1996,104,Theft,191
1996,104,Vehicle Theft,77
1996,104,Violent Crimes Total,59
1996,105,Aggravated Assault,9
1996,105,Homicide,1
1996,105,NonResidential Burglary,27
1996,105,Property Crimes Total,526
1996,105,Rape,0
1996,105,Residential Burglary,31
1996,105,Robbery,17
1996,105,Theft,367
1996,105,Vehicle Theft,99
1996,105,Violent Crimes Total,27
1996,106,Aggravated Assault,12
1996,106,Homicide,0
1996,106,NonResidential Burglary,16
1996,106,Property Crimes Total,450
1996,106,Rape,0
1996,106,Residential Burglary,84
1996,106,Robbery,16
1996,106,Theft,272
1996,106,Vehicle Theft,77
1996,106,Violent Crimes Total,28
1996,107,Aggravated Assault,49
1996,107,Homicide,5
1996,107,NonResidential Burglary,25
1996,107,Property Crimes Total,516
1996,107,Rape,1
1996,107,Residential Burglary,132
1996,107,Robbery,35
1996,107,Theft,267
1996,107,Vehicle Theft,87
1996,107,Violent Crimes Total,90
1996,108,Aggravated Assault,16
1996,108,Homicide,0
1996,108,NonResidential Burglary,8
1996,108,Property Crimes Total,267
1996,108,Rape,1
1996,108,Residential Burglary,50
1996,108,Robbery,4
1996,108,Theft,155
1996,108,Vehicle Theft,50
1996,108,Violent Crimes Total,21
1996,109,Aggravated Assault,24
1996,109,Homicide,0
1996,109,NonResidential Burglary,87
1996,109,Property Crimes Total,426
1996,109,Rape,5
1996,109,Residential Burglary,33
1996,109,Robbery,26
1996,109,Theft,242
1996,109,Vehicle Theft,64
1996,109,Violent Crimes Total,55
1996,11,Aggravated Assault,0
1996,11,Homicide,0
1996,11,NonResidential Burglary,2
1996,11,Property Crimes Total,90
1996,11,Rape,0
1996,11,Residential Burglary,18
1996,11,Robbery,2
1996,11,Theft,52
1996,11,Vehicle Theft,18
1996,11,Violent Crimes Total,2
1996,110,Aggravated Assault,64
1996,110,Homicide,0
1996,110,NonResidential Burglary,17
1996,110,Property Crimes Total,466
1996,110,Rape,5
1996,110,Residential Burglary,120
1996,110,Robbery,33
1996,110,Theft,206
1996,110,Vehicle Theft,116
1996,110,Violent Crimes Total,102
1996,111,Aggravated Assault,50
1996,111,Homicide,4
1996,111,NonResidential Burglary,10
1996,111,Property Crimes Total,462
1996,111,Rape,4
1996,111,Residential Burglary,94
1996,111,Robbery,46
1996,111,Theft,232
1996,111,Vehicle Theft,124
1996,111,Violent Crimes Total,104
1996,112,Aggravated Assault,35
1996,112,Homicide,3
1996,112,NonResidential Burglary,67
1996,112,Property Crimes Total,408
1996,112,Rape,1
1996,112,Residential Burglary,68
1996,112,Robbery,17
1996,112,Theft,198
1996,112,Vehicle Theft,68
1996,112,Violent Crimes Total,56
1996,113,Aggravated Assault,25
1996,113,Homicide,0
1996,113,NonResidential Burglary,14
1996,113,Property Crimes Total,348
1996,113,Rape,1
1996,113,Residential Burglary,69
1996,113,Robbery,17
1996,113,Theft,203
1996,113,Vehicle Theft,60
1996,113,Violent Crimes Total,43
1996,114,Aggravated Assault,36
1996,114,Homicide,0
1996,114,NonResidential Burglary,24
1996,114,Property Crimes Total,779
1996,114,Rape,3
1996,114,Residential Burglary,77
1996,114,Robbery,29
1996,114,Theft,496
1996,114,Vehicle Theft,171
1996,114,Violent Crimes Total,68
1996,115,Aggravated Assault,14
1996,115,Homicide,0
1996,115,NonResidential Burglary,6
1996,115,Property Crimes Total,284
1996,115,Rape,0
1996,115,Residential Burglary,62
1996,115,Robbery,3
1996,115,Theft,149
1996,115,Vehicle Theft,66
1996,115,Violent Crimes Total,17
1996,116,Aggravated Assault,2
1996,116,Homicide,0
1996,116,NonResidential Burglary,7
1996,116,Property Crimes Total,300
1996,116,Rape,0
1996,116,Residential Burglary,55
1996,116,Robbery,1
1996,116,Theft,179
1996,116,Vehicle Theft,57
1996,116,Violent Crimes Total,3
1996,117,Aggravated Assault,21
1996,117,Homicide,1
1996,117,NonResidential Burglary,16
1996,117,Property Crimes Total,200
1996,117,Rape,1
1996,117,Residential Burglary,40
1996,117,Robbery,7
1996,117,Theft,107
1996,117,Vehicle Theft,33
1996,117,Violent Crimes Total,30
1996,118,Aggravated Assault,63
1996,118,Homicide,2
1996,118,NonResidential Burglary,32
1996,118,Property Crimes Total,750
1996,118,Rape,4
1996,118,Residential Burglary,70
1996,118,Robbery,51
1996,118,Theft,545
1996,118,Vehicle Theft,99
1996,118,Violent Crimes Total,120
1996,119,Aggravated Assault,29
1996,119,Homicide,0
1996,119,NonResidential Burglary,7
1996,119,Property Crimes Total,339
1996,119,Rape,2
1996,119,Residential Burglary,91
1996,119,Robbery,9
1996,119,Theft,172
1996,119,Vehicle Theft,69
1996,119,Violent Crimes Total,40
1996,12,Aggravated Assault,16
1996,12,Homicide,0
1996,12,NonResidential Burglary,38
1996,12,Property Crimes Total,1406
1996,12,Rape,2
1996,12,Residential Burglary,28
1996,12,Robbery,36
1996,12,Theft,1221
1996,12,Vehicle Theft,118
1996,12,Violent Crimes Total,54
1996,120,Aggravated Assault,6
1996,120,Homicide,0
1996,120,NonResidential Burglary,1
1996,120,Property Crimes Total,126
1996,120,Rape,0
1996,120,Residential Burglary,27
1996,120,Robbery,2
1996,120,Theft,76
1996,120,Vehicle Theft,21
1996,120,Violent Crimes Total,8
1996,121,Aggravated Assault,5
1996,121,Homicide,0
1996,121,NonResidential Burglary,0
1996,121,Property Crimes Total,57
1996,121,Rape,0
1996,121,Residential Burglary,10
1996,121,Robbery,0
1996,121,Theft,30
1996,121,Vehicle Theft,16
1996,121,Violent Crimes Total,5
1996,13,Aggravated Assault,15
1996,13,Homicide,0
1996,13,NonResidential Burglary,22
1996,13,Property Crimes Total,302
1996,13,Rape,3
1996,13,Residential Burglary,22
1996,13,Robbery,10
1996,13,Theft,212
1996,13,Vehicle Theft,44
1996,13,Violent Crimes Total,28
1996,14,Aggravated Assault,9
1996,14,Homicide,0
1996,14,NonResidential Burglary,8
1996,14,Property Crimes Total,186
1996,14,Rape,1
1996,14,Residential Burglary,26
1996,14,Robbery,4
1996,14,Theft,126
1996,14,Vehicle Theft,26
1996,14,Violent Crimes Total,14
1996,15,Aggravated Assault,5
1996,15,Homicide,0
1996,15,NonResidential Burglary,0
1996,15,Property Crimes Total,40
1996,15,Rape,0
1996,15,Residential Burglary,4
1996,15,Robbery,2
1996,15,Theft,31
1996,15,Vehicle Theft,4
1996,15,Violent Crimes Total,7
1996,16,Aggravated Assault,9
1996,16,Homicide,0
1996,16,NonResidential Burglary,9
1996,16,Property Crimes Total,151
1996,16,Rape,0
1996,16,Residential Burglary,7
1996,16,Robbery,7
1996,16,Theft,116
1996,16,Vehicle Theft,18
1996,16,Violent Crimes Total,16
1996,17,Aggravated Assault,35
1996,17,Homicide,0
1996,17,NonResidential Burglary,16
1996,17,Property Crimes Total,618
1996,17,Rape,8
1996,17,Residential Burglary,70
1996,17,Robbery,25
1996,17,Theft,455
1996,17,Vehicle Theft,73
1996,17,Violent Crimes Total,68
1996,18,Aggravated Assault,41
1996,18,Homicide,0
1996,18,NonResidential Burglary,8
1996,18,Property Crimes Total,227
1996,18,Rape,5
1996,18,Residential Burglary,38
1996,18,Robbery,19
